id,first_name,last_name,tutor_fullname,gender,email,company_hired,entreprise_alternance,entreprise_alternance_address,secteur_activite_entreprise_alternance,date_debut_alternance
1,Clayborne,Figgen,Clayborne Figgen,Male,cfiggen0@networkadvertising.org,D'Amore Group,"Murazik, Haag and Morissette",11379 West Center,n/a,12/14/2021
2,Hettie,Wolfenden,Hettie Wolfenden,Female,hwolfenden1@merriam-webster.com,Doyle and Sons,Pacocha-Schuppe,6 Vera Park,Technology,3/12/2022
3,Clerc,Wynch,Clerc Wynch,Male,cwynch2@imageshack.us,Kihn-Kris,Considine-Gerhold,2 Bultman Center,n/a,9/25/2022
4,Ericka,Sawden,Ericka Sawden,Female,esawden3@npr.org,Bashirian LLC,Ledner-Batz,2470 Larry Park,Capital Goods,6/27/2022
5,Pierce,Donovan,Pierce Donovan,Male,pdonovan4@lycos.com,"Wiza, Berge and Morar",Schuster-Abshire,3950 Northport Road,Consumer Services,5/28/2023
6,Anson,Shacklady,Anson Shacklady,Male,ashacklady5@ox.ac.uk,McDermott-Luettgen,Braun-Daugherty,711 Manley Avenue,Technology,11/6/2021
7,Hendrick,Lattimore,Hendrick Lattimore,Male,hlattimore6@weibo.com,"Muller, Watsica and Donnelly","Crooks, Osinski and Oberbrunner",7 Menomonie Point,Finance,10/26/2021
8,Cecilio,O'Hengerty,Cecilio O'Hengerty,Male,cohengerty7@upenn.edu,"Bradtke, Spinka and Johns","Reinger, Anderson and Trantow",03 Harper Avenue,n/a,2/14/2022
9,Nydia,Cadlock,Nydia Cadlock,Female,ncadlock8@bizjournals.com,Robel-Casper,McClure Inc,7 Sunbrook Park,Miscellaneous,12/6/2021
10,Lonnie,Trenbey,Lonnie Trenbey,Male,ltrenbey9@histats.com,Kuvalis-Mante,"Von, Rogahn and Kozey",44 Waxwing Avenue,Public Utilities,8/6/2023
11,Kahaleel,Ridgewell,Kahaleel Ridgewell,Male,kridgewella@etsy.com,Spencer-Nader,Lynch-Stracke,25 Crescent Oaks Plaza,Finance,11/28/2021
12,Ira,Zoellner,Ira Zoellner,Male,izoellnerb@google.ca,"Donnelly, Jaskolski and Durgan",Mayer-Parisian,97035 Golf Course Alley,Consumer Non-Durables,3/14/2023
13,Bernadine,Smeeth,Bernadine Smeeth,Female,bsmeethc@yale.edu,Schamberger-Harvey,"Murazik, Kiehn and Koepp",3358 Blackbird Crossing,n/a,1/2/2023
14,Tommy,Jaggi,Tommy Jaggi,Male,tjaggid@sphinn.com,"Blick, Reichel and Windler",Cummerata LLC,3563 Rigney Court,n/a,12/3/2021
15,Fey,MacGregor,Fey MacGregor,Female,fmacgregore@skyrock.com,Mueller-Lubowitz,"Nader, Homenick and Kassulke",0788 Loftsgordon Terrace,Technology,10/31/2021
16,Pippy,Wiles,Pippy Wiles,Female,pwilesf@ucla.edu,Friesen LLC,"Kirlin, Osinski and Bednar",7 Spaight Way,Finance,7/21/2023
17,Nomi,Aston,Nomi Aston,Female,nastong@indiatimes.com,"Bernier, Beier and Anderson","Thiel, Jacobson and Gleichner",2392 Cherokee Point,n/a,9/17/2022
18,Filip,Stoaks,Filip Stoaks,Male,fstoaksh@php.net,"Johnson, Olson and Volkman",Kessler and Sons,4870 Dunning Junction,Technology,5/5/2023
19,Olly,Verdy,Olly Verdy,Male,overdyi@examiner.com,Murazik Group,"Blanda, Reichert and Nitzsche",347 Bobwhite Pass,n/a,2/15/2023
20,Gay,Fundell,Gay Fundell,Male,gfundellj@opensource.org,"Casper, VonRueden and Bailey",Gulgowski LLC,3 Lunder Terrace,Finance,10/10/2021
21,Jenn,Kernock,Jenn Kernock,Female,jkernockk@admin.ch,Paucek-Berge,"Bartoletti, Terry and Windler",84915 Ramsey Center,n/a,9/3/2022
22,Abigail,Johnston,Abigail Johnston,Female,ajohnstonl@ucsd.edu,"Davis, O'Reilly and Breitenberg",Ritchie-Ward,0352 Golf Drive,Basic Industries,6/10/2023
23,Tobias,Eldered,Tobias Eldered,Male,telderedm@wordpress.org,Ritchie-Grant,Johns Inc,02822 Burrows Junction,Finance,5/14/2023
